CompanyName,Year,Sales,OperatingProfit,NetIncome,OperatingActivitiesCashFlow,InvestmentActivitiesCashFlow,FinancialActivitiesCashFlow,AccountsReceivable,AccountsReceivableTurnover,AccountsReceivableTurnoverDays,CostofGoodsSold,Inventory,InventoryTurnover,InventoryTurnoverDays,InventoryTotalAssets,TotalBorrowings,FinancialCosts,TotalLiabilities,TotalCapital,DebtRatio,Bankruptcy
GS리테일,2015,6189347697822 ,215745795447 ,161577082037 ,440121426009 ,-847843584006 ,361985836155 ,245636940134 ,25.20 ,14.49 ,4988695421894 ,114970381142 ,43.39 ,8.41 ,3590748817420 ,559692871821 ,39165027733 ,1796978661444 ,3590748817420 ,0.50 ,0
HB테크놀러지,2013,144295442019 ,16471920751 ,21375325682 ,6361027710 ,-15093178937 ,-5021711143 ,15236759245 ,9.47 ,38.54 ,114141551949 ,6630520997 ,17.21 ,21.20 ,128986264123 ,27107293828 ,3450421758 ,51785168033 ,128986264123 ,0.40 ,0
HB테크놀러지,2014,133327678112 ,2554293400 ,1334554830 ,5504829893 ,-2286639475 ,-1137298877 ,10531108114 ,12.66 ,28.83 ,114556460096 ,8170290332 ,14.02 ,26.03 ,119847705570 ,25517225872 ,4396924087 ,40671625342 ,119847705570 ,0.34 ,0
HB테크놀러지,2015,145657335800 ,10098626616 ,6840427302 ,16849817859 ,-5304601916 ,-9639272539 ,12437008711 ,11.71 ,31.17 ,118399847623 ,7391175598 ,16.02 ,22.79 ,113213790285 ,15854746793 ,3610516579 ,26770235266 ,113213790285 ,0.24 ,0
HRS,2013,55384810607 ,3804196014 ,3383665691 ,7067105884 ,-11285577506 ,6909436465 ,12675648891 ,4.37 ,83.54 ,44441836415 ,14421965144 ,3.08 ,118.45 ,82814406688 ,7912000000 ,26418668 ,16731775551 ,82814406688 ,0.20 ,0
HRS,2014,56357604931 ,5460072595 ,4371205422 ,7050127126 ,-6011846593 ,-1208068130 ,13306229276 ,4.24 ,86.18 ,43751974435 ,13224895861 ,3.31 ,110.33 ,85972920734 ,7816000000 ,119749465 ,16685924403 ,85972920734 ,0.19 ,0
HRS,2015,57006875330 ,4900662368 ,4103407836 ,6565137215 ,-3850856006 ,-17625458 ,11960659920 ,4.77 ,76.58 ,44672397019 ,12633418430 ,3.54 ,103.22 ,89088705403 ,1720000000 ,14798543 ,16013889324 ,89088705403 ,0.18 ,0
ISC,2013,55305882223 ,19719868562 ,14961522563 ,16852663844 ,-12535717848 ,3427212990 ,10856025347 ,5.09 ,71.65 ,23888136915 ,3176470333 ,7.52 ,48.54 ,109851244381 ,1483320000 ,334530501 ,19840297640 ,109851244381 ,0.18 ,0
ITX시큐리티,2013,82584633069 ,3385154758 ,2351219397 ,3258014582 ,-6165783368 ,2848246552 ,8134949930 ,10.15 ,35.95 ,65057836947 ,19214441103 ,3.39 ,107.80 ,56459310225 ,9717936951 ,1325580408 ,20125482652 ,56459310225 ,0.36 ,0
ITX시큐리티,2014,67453006047 ,-1614216358 ,-2079209261 ,4908824217 ,-5144149470 ,500391619 ,5506720764 ,12.25 ,29.80 ,54886280752 ,12914971041 ,4.25 ,85.89 ,49546448533 ,10869369216 ,454608289 ,15373865453 ,49546448533 ,0.31 ,0
ITX시큐리티,2015,35491020803 ,-12425988127 ,-15328714425 ,-2467205195 ,-3927451429 ,6814622051 ,5626931794 ,6.31 ,57.87 ,33491166155 ,5592552430 ,5.99 ,60.95 ,41600894593 ,15860191803 ,616328719 ,20461393811 ,41600894593 ,0.49 ,0
KCC건설,2013,1049455521003 ,-56113917287 ,-140168728689 ,-48191238774 ,-87809983597 ,149147828811 ,437882480544 ,2.40 ,152.30 ,1064853779212 ,154019252054 ,6.91 ,52.79 ,1115656091002 ,209113085365 ,74452649927 ,835909085486 ,1115656091002 ,0.75 ,0
KCC건설,2014,941480111857 ,837099933 ,1701748198 ,45828220021 ,48840842359 ,-48125143740 ,346832399017 ,2.71 ,134.46 ,958661211755 ,139343279276 ,6.88 ,53.05 ,1129225514579 ,132146759999 ,19606597376 ,742968941081 ,1129225514579 ,0.66 ,0
KCC건설,2015,863507124150 ,-93565730927 ,-85383677088 ,29162481753 ,56325799824 ,-140428389862 ,205135739742 ,4.21 ,86.71 ,949437471319 ,99479692099 ,9.54 ,38.24 ,837655499848 ,167930247048 ,24770364737 ,538640742345 ,837655499848 ,0.64 ,0
KCC건설,2016,1120735139230 ,35188456861 ,16648963029 ,5604632264 ,9942216004 ,-10977110694 ,255531703540 ,4.39 ,83.22 ,1028630143910 ,143838057475 ,7.15 ,51.04 ,902355294008 ,78400000000 ,17570183728 ,592171499995 ,902355294008 ,0.66 ,0
KCC건설,2017,1326422111953 ,71852648034 ,22483322690 ,102568543327 ,60271820095 ,-50033249894 ,276063824546 ,4.80 ,75.97 ,1199075215839 ,127912148568 ,9.37 ,38.94 ,941683140938 ,129800000000 ,9847600437 ,603410805193 ,941683140938 ,0.64 ,0
KCI,2013,33252081362 ,2406567011 ,2291429513 ,1864978183 ,-278462862 ,-1733696000 ,6387757767 ,5.21 ,70.12 ,23748340580 ,9335264218 ,2.54 ,143.48 ,54223308809 ,11514731402 ,585431041 ,16629857444 ,54223308809 ,0.31 ,0
KCI,2014,39165387319 ,3310446093 ,3306976215 ,5686032642 ,-1949351078 ,-2765960000 ,8040218074 ,4.87 ,74.93 ,28084850713 ,10323426527 ,2.72 ,134.17 ,56195855739 ,10972760000 ,508271135 ,15856933749 ,56195855739 ,0.28 ,0
KCI,2015,38679755135 ,6425746539 ,5458343404 ,9745609624 ,-1075764937 ,-4743842250 ,7034420651 ,5.50 ,66.38 ,25084271387 ,9605464127 ,2.61 ,139.77 ,55610968477 ,7618440000 ,340975968 ,11443485956 ,55610968477 ,0.21 ,0
KD건설,2013,20281608238 ,-975675417 ,-2472165151 ,299132183 ,-3264388475 ,3221580696 ,4788369320 ,4.24 ,86.17 ,19263721205 ,1167109044 ,16.51 ,22.11 ,21340771818 ,584593050 ,813197548 ,14693767464 ,21340771818 ,0.69 ,0
KD건설,2014,21608687432 ,-2887622006 ,-5189162859 ,-18080165087 ,-2107989222 ,20071907828 ,5865293420 ,3.68 ,99.07 ,21380594149 ,7013531763 ,3.05 ,119.73 ,25922891051 ,7913193050 ,452895518 ,11701003564 ,25922891051 ,0.45 ,0
KD건설,2015,24316772632 ,1340512829 ,627747597 ,2226448151 ,-3448737468 ,2706428452 ,5934092509 ,4.10 ,89.07 ,19756356722 ,11621037202 ,1.70 ,214.70 ,35719694178 ,8149493050 ,885224151 ,18324885329 ,35719694178 ,0.51 ,0
KG ETS,2013,100809908333 ,18675124763 ,12407005986 ,21929557805 ,-10648411141 ,-12423877558 ,23159747263 ,4.35 ,83.85 ,77494319307 ,3934801404 ,19.69 ,18.53 ,174407630479 ,30627640000 ,1827515727 ,66975902931 ,174407630479 ,0.38 ,0
KG ETS,2014,105683027790 ,21292576826 ,16183985104 ,19784775606 ,-1733026598 ,-17953810505 ,22563315268 ,4.68 ,77.93 ,79778315169 ,5695904499 ,14.01 ,26.06 ,169514845760 ,19571180000 ,1055765764 ,49668390843 ,169514845760 ,0.29 ,0
KG ETS,2015,92833778043 ,12810876776 ,20236152862 ,10857231386 ,-22793281127 ,7977786946 ,21074041963 ,4.41 ,82.86 ,75417760941 ,8158853596 ,9.24 ,39.49 ,193623047629 ,34624300000 ,653055873 ,56675192747 ,193623047629 ,0.29 ,0
KG ETS,2016,95363023326 ,11409014008 ,4931071206 ,21307306315 ,-11687604638 ,-7419801800 ,29145130849 ,3.27 ,111.55 ,79868287425 ,5922835233 ,13.48 ,27.07 ,194930753255 ,30170280000 ,826809480 ,56522202175 ,194930753255 ,0.29 ,0
KG ETS,2017,108801441604 ,13837807095 ,11723011234 ,20119316312 ,-14807962345 ,-1660261800 ,27858086967 ,3.91 ,93.46 ,88135071390 ,4410563414 ,19.98 ,18.27 ,206239630429 ,32096640000 ,796985212 ,59106990761 ,206239630429 ,0.29 ,0
KGP,2016,45974763461 ,-8886097275 ,-17554874227 ,-3945627580 ,4133706653 ,4033674384 ,11142938929 ,4.13 ,88.47 ,49584838917 ,9686322687 ,5.12 ,71.30 ,50219240828 ,1352795195 ,6019447807 ,38485833689 ,50219240828 ,0.77 ,0
KGP,2017,63031654225 ,-9013613221 ,-6432126907 ,-785841603 ,-4845505716 ,1950123005 ,16184740437 ,3.89 ,93.72 ,65765656841 ,13467036986 ,4.88 ,74.74 ,56315615116 ,6695917434 ,3069274541 ,45779273753 ,56315615116 ,0.81 ,0
KG이니시스,2014,298475585026 ,24454039996 ,24372880491 ,-3460996485 ,-61101327126 ,-117473846 ,38181226562 ,7.82 ,46.69 ,234402342293 ,1164688149 ,201.26 ,1.81 ,287510795499 ,10399973128 ,1154010822 ,145751670121 ,287510795499 ,0.51 ,0
KG이니시스,2015,306753676250 ,27658303674 ,21553999331 ,-62043044573 ,14247879505 ,16660080715 ,30455728747 ,10.07 ,36.24 ,236696787388 ,1001664500 ,236.30 ,1.54 ,290543116401 ,16000000000 ,2086482742 ,130147613618 ,290543116401 ,0.45 ,0
KG이니시스,2016,338859888796 ,26286557614 ,5424561527 ,73054351430 ,-67998140149 ,19140190750 ,49451006627 ,6.85 ,53.27 ,270219297135 ,1510000 ,178953.18 ,0.00 ,377147948893 ,23000000000 ,2115003927 ,199744870332 ,377147948893 ,0.53 ,0
KG이니시스,2017,443489750584 ,32024605171 ,-38306163455 ,206382956295 ,-84407454762 ,-40290413070 ,17657742629 ,25.12 ,14.53 ,363156980091 ,130000 ,2793515.23 ,0.00 ,441411123545 ,20000000000 ,1262278486 ,290303319859 ,441411123545 ,0.66 ,0
KH바텍,2016,158176006454 ,-17802664869 ,-19243530840 ,8450194583 ,-55494483752 ,-767342660 ,22413648370 ,7.06 ,51.72 ,159775428609 ,8878390148 ,18.00 ,20.28 ,285263655741 ,9042500000 ,28233144 ,33869637823 ,285263655741 ,0.12 ,0
KH바텍,2017,127309737519 ,-34073592038 ,-37531820411 ,-17261132936 ,23643937924 ,6675670960 ,9934573891 ,12.81 ,28.48 ,149996639632 ,6535164165 ,22.95 ,15.90 ,241234064454 ,5000000000 ,786202186 ,31956030323 ,241234064454 ,0.13 ,0
KMH,2013,29876623962 ,4780921825 ,8817784806 ,16471769525 ,-26114142473 ,8500000000 ,7745995551 ,3.86 ,94.63 ,17840149512 ,68973503 ,258.65 ,1.41 ,98522257637 ,9500000000 ,586784605 ,21894752945 ,98522257637 ,0.22 ,0
KPX그린케미칼,2013,242992607121 ,11720897485 ,10700908745 ,30115697960 ,-21516045803 ,-12000000000 ,30444602218 ,7.98 ,45.73 ,224059059057 ,11280741892 ,19.86 ,18.38 ,162058007960 ,11200000000 ,974889682 ,55843892727 ,162058007960 ,0.34 ,0
KPX그린케미칼,2014,251617413617 ,14206400262 ,12980074315 ,34517594988 ,-49100713276 ,14230000000 ,22311798358 ,11.28 ,32.37 ,229983921533 ,15602099833 ,14.74 ,24.76 ,196396573320 ,29830000000 ,921119986 ,80575082071 ,196396573320 ,0.41 ,0
KPX그린케미칼,2015,219885612174 ,3045002806 ,3536459587 ,15396342107 ,-34401969263 ,20050096722 ,27705248130 ,7.94 ,45.99 ,208686659323 ,18472548420 ,11.30 ,32.31 ,218566708029 ,41150096722 ,1928355448 ,102629658933 ,218566708029 ,0.47 ,0
KR모터스,2016,84083884309 ,-6488216232 ,-11056378954 ,-14577437583 ,3738432559 ,1932878039 ,4768392423 ,17.63 ,20.70 ,78468106451 ,11112380991 ,7.06 ,51.69 ,143302920661 ,25670699299 ,6300012320 ,85745913143 ,143302920661 ,0.60 ,0
